Termo Buscado,Nome Completo,Origem/Nacionalidade,Data de Nascimento,Local de Nascimento,Data de Falecimento,Local de Falecimento,Século,Latitude,Longitude,Url,Imagem
Machado de Assis,Joaquim Maria Machado de Assis,Brasil,21 de junho de 1839,Rio de Janeiro,29 de setembro de 1908,Rio de Janeiro,19,-22.911111111, -43.205555555,https://pt.wikipedia.org/wiki/Machado_de_Assis,http://commons.wikimedia.org/wiki/Special:FilePath/Machado%20de%20Assis%20aos%2057%20anos.jpg
Santos Dumont,Alberto Santos Dumont,Brasil,20 de julho de 1873,Santos Dumont,23 de julho de 1932,Guarujá,19,-21.456666666, -43.5525,https://pt.wikipedia.org/wiki/Santos_Dumont,http://commons.wikimedia.org/wiki/Special:FilePath/%28Barcelona%29%20Portrait%20of%20the%20Brazilian%20Aviator%20Alberto%20Santos-Dumont%20by%20Fran%C3%A7ois%20Flameng%20-%20Museu%20Nacional%20d%27Art%20de%20Catalunya.jpg
Clarice Lispector,Chaya Pinkhasivna Lispector,Ucrânia,10 de dezembro de 1920,Chechelnyk,09 de dezembro de 1977,Rio de Janeiro,20,48.212222222, 29.362222222,https://pt.wikipedia.org/wiki/Clarice_Lispector,http://commons.wikimedia.org/wiki/Special:FilePath/%281920-1977%29%20Clarice%20Lispector%206zxkp%20please%20credit%28palette.fm%29%20%28cropped%29.png
Yasser Arafat,Yasser Arafat,Egito,04 de agosto de 1929,Cairo,11 de novembro de 2004,Hôpital d'instruction des armées Percy,20,30.044444444, 31.235833333,https://pt.wikipedia.org/wiki/Yasser_Arafat,http://commons.wikimedia.org/wiki/Special:FilePath/Leader%20of%20the%20PLO%2C%20Yasser%20Arafat%2C%201996%20Dan%20Hadani%20Archive.jpg
Lula,Luiz Inácio da Silva,Brasil,27 de outubro de 1945,Caetés,-,-,20,-8.772777777, -36.622777777,https://pt.wikipedia.org/wiki/Luiz_Inácio_Lula_da_Silva,http://commons.wikimedia.org/wiki/Special:FilePath/Foto%20oficial%20de%20Luiz%20In%C3%A1cio%20Lula%20da%20Silva%20%28estreita%29.jpg
