Termo Buscado,Nome Completo,Origem/Nacionalidade,Data de Nascimento,Local de Nascimento,Data de Falecimento,Local de Falecimento,Século,Latitude,Longitude,Url,Imagem
Baruch Espinoza,Baruch de Espinosa,Países Baixos,24 de novembro de 1632,Amesterdão,21 de fevereiro de 1677,Haia,5,52.372777777, 4.893611111,https://pt.wikipedia.org/wiki/Baruch_Espinoza,http://commons.wikimedia.org/wiki/Special:FilePath/Spinoza.jpg
Voltaire,François-Marie Arouet,França,21 de novembro de 1694,Paris,30 de maio de 1778,Paris,20,48.856666666, 2.352222222,https://pt.wikipedia.org/wiki/Voltaire,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolas%20de%20Largilli%C3%A8re%20-%20Portrait%20de%20Voltaire%20%281694-1778%29%20en%201718%20-%20P208%20-%20Mus%C3%A9e%20Carnavalet%20-%202.jpg
Roger Bacon,Roger Bacon,Reino Unido,01 de janeiro de 1220,Ilchester,01 de janeiro de 1292,Oxford,11,51.0011, -2.6825,https://pt.wikipedia.org/wiki/Roger_Bacon,http://commons.wikimedia.org/wiki/Special:FilePath/Roger-bacon-statue.jpg
Immanuel Kant,Immanuel Kant,Prússia,22 de abril de 1724,Königsberg,12 de fevereiro de 1804,Königsberg,9,54.716666666, 20.516666666,https://pt.wikipedia.org/wiki/Immanuel_Kant,http://commons.wikimedia.org/wiki/Special:FilePath/Kant%20foto.jpg
Arthur Schopenhauer,Arthur Schopenhauer,Polónia,22 de fevereiro de 1788,Gdansk,21 de setembro de 1860,Frankfurt,20,54.35, 18.666666666,https://pt.wikipedia.org/wiki/Arthur_Schopenhauer,http://commons.wikimedia.org/wiki/Special:FilePath/Arthur%20Schopenhauer%20by%20J%20Sch%C3%A4fer%2C%201859b.jpg
Friedrich Nietzsche,Friedrich Wilhelm Nietzsche,Alemanha,15 de outubro de 1844,Röcken,25 de agosto de 1900,Weimar,20,51.240833333, 12.116111111,https://pt.wikipedia.org/wiki/Friedrich_Nietzsche,http://commons.wikimedia.org/wiki/Special:FilePath/Nietzsche187a.jpg
Nicolau Copérnico,Niklas Koppernigk,Polónia,28 de fevereiro de 1473,Toruń,03 de junho de 1543,Frombork,17,53.0144, 18.6014,https://pt.wikipedia.org/wiki/Nicolau_Copérnico,http://commons.wikimedia.org/wiki/Special:FilePath/Nikolaus%20Kopernikus.jpg
Galileu Galilei,Galileo di Vincenzo Bonaiuti de' Galilei,Itália,25 de fevereiro de 1564,Pisa,08 de janeiro de 1642,Arcetri,7,43.716666666, 10.4,https://pt.wikipedia.org/wiki/Galileu_Galilei,http://commons.wikimedia.org/wiki/Special:FilePath/Galileo.arp.300pix.jpg
Johannes Kepler,Johannes Kepler,Alemanha,06 de janeiro de 1572,Weil der Stadt,15 de novembro de 1630,Ratisbona,8,48.750833333, 8.870555555,https://pt.wikipedia.org/wiki/Johannes_Kepler,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Johannes%20Kepler.jpg
Isaac Newton,Isaac Newton,Reino Unido,04 de janeiro de 1643,Woolsthorpe Manor,31 de março de 1727,Kensington,4,52.809167, -0.630556,https://pt.wikipedia.org/wiki/Isaac_Newton,http://commons.wikimedia.org/wiki/Special:FilePath/GodfreyKneller-IsaacNewton-1689.jpg
René Descartes,René Descartes,França,31 de março de 1596,Descartes,11 de fevereiro de 1650,Estocolmo,11,46.973611111, 0.697777777,https://pt.wikipedia.org/wiki/René_Descartes,http://commons.wikimedia.org/wiki/Special:FilePath/Frans%20Hals%20-%20Portret%20van%20Ren%C3%A9%20Descartes.jpg
Blaise Pascal,Blaise Pascal,França,19 de junho de 1623,birth house of Blaise Pascal,19 de agosto de 1662,Paris,16,45.77841, 3.08526,https://pt.wikipedia.org/wiki/Blaise_Pascal,http://commons.wikimedia.org/wiki/Special:FilePath/FR-631136102%20GRA%206025%20Portrait%20de%20Blaise%20Pascal%20par%20Edelinck%20%28cropped%29.jpg
Carl Friedrich Gauss,Johann Carl Friedrich Gauß,Alemanha,30 de abril de 1777,Brunsvique,23 de fevereiro de 1855,Göttingen,4,52.269166666, 10.521111111,https://pt.wikipedia.org/wiki/Carl_Friedrich_Gauss,http://commons.wikimedia.org/wiki/Special:FilePath/Carl%20Friedrich%20Gauss.jpg
Albert Einstein,Albert Einstein,Alemanha,14 de março de 1879,Ulm,18 de abril de 1955,Princeton,17,48.39841, 9.99155,https://pt.wikipedia.org/wiki/Albert_Einstein,http://commons.wikimedia.org/wiki/Special:FilePath/Albert%20Einstein%20Head.jpg
Kurt Gödel,Kurt Friedrich Gödel,Chéquia,28 de abril de 1906,Brno,14 de janeiro de 1978,Princeton,1,49.195277777, 16.608333333,https://pt.wikipedia.org/wiki/Kurt_Gödel,http://commons.wikimedia.org/wiki/Special:FilePath/Young%20Kurt%20G%C3%B6del%20as%20a%20student%20in%201925.jpg
Alan Turing,Alan Mathison Turing,Reino Unido,23 de junho de 1912,Maida Vale,07 de junho de 1954,Wilmslow,19,51.5274, -0.1899,https://pt.wikipedia.org/wiki/Alan_Turing,http://commons.wikimedia.org/wiki/Special:FilePath/Alan%20Turing%20Aged%2016.jpg
John von Neumann,Neumann János Lajos,Hungria,28 de dezembro de 1903,Budapeste,08 de fevereiro de 1957,"Washington, D.C.",18,47.498333333, 19.040833333,https://pt.wikipedia.org/wiki/John_von_Neumann,http://commons.wikimedia.org/wiki/Special:FilePath/JohnvonNeumann-LosAlamos.gif
Edsger Dijkstra,Edsger Wybe Dijkstra,Países Baixos,11 de maio de 1930,Roterdão,06 de agosto de 2002,Nuenen,15,51.9225, 4.47917,https://pt.wikipedia.org/wiki/Edsger_Dijkstra,http://commons.wikimedia.org/wiki/Special:FilePath/Edsger%20Dijkstra%201994.jpg
Isaac Asimov,Isaac Asimov,Rússia,02 de janeiro de 1920,Petrovichi,06 de abril de 1992,Manhattan,16,53.976388888, 32.162777777,https://pt.wikipedia.org/wiki/Isaac_Asimov,http://commons.wikimedia.org/wiki/Special:FilePath/Isaac.Asimov01.jpg
David Hilbert,David Hilbert,Rússia,23 de janeiro de 1862,"Znamensk, Kaliningrad Oblast",14 de fevereiro de 1943,Göttingen,3,54.616666666, 21.216666666,https://pt.wikipedia.org/wiki/David_Hilbert,http://commons.wikimedia.org/wiki/Special:FilePath/Hilbert.jpg
Nelson Mandela,Rolihllahla Mandela,África do Sul,18 de julho de 1918,Mvezo,05 de dezembro de 2013,Houghton Estate,5,-31.95,28516,https://pt.wikipedia.org/wiki/Nelson_Mandela,http://commons.wikimedia.org/wiki/Special:FilePath/Nelson%20Mandela%201994.jpg
Madre Teresa de Calcutá,Anjezë Gonxhe Bojaxhiu,Macedónia do Norte,26 de agosto de 1910,Skopje,05 de setembro de 1997,Calcutá,2,41.996111111, 21.431666666,https://pt.wikipedia.org/wiki/Madre_Teresa_de_Calcutá,http://commons.wikimedia.org/wiki/Special:FilePath/MotherTeresa%20090.jpg
Mahatma Gandhi,Mohandas Karamchand Gandhi,Índia,02 de outubro de 1869,Porbandar,30 de janeiro de 1948,Gandhi Smriti,20,21.6425, 69.604722222,https://pt.wikipedia.org/wiki/Mahatma_Gandhi,http://commons.wikimedia.org/wiki/Special:FilePath/Mahatma-Gandhi%2C%20studio%2C%201931.jpg
Desmond Tutu,Desmond Mpilo Tutu,África do Sul,07 de outubro de 1931,Klerksdorp,26 de dezembro de 2021,Cidade do Cabo,18,-26.866666666, 26.666666666,https://pt.wikipedia.org/wiki/Desmond_Tutu,http://commons.wikimedia.org/wiki/Special:FilePath/Archbishop-Tutu-medium.jpg
Martin Luther King Jr.,Michael King Jr.,Estados Unidos,15 de janeiro de 1929,Atlanta,04 de abril de 1968,Memphis,2,33.756944444, -84.390277777,https://pt.wikipedia.org/wiki/Martin_Luther_King_Jr.,http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Luther%20King%2C%20Jr..jpg
Cícero,Marco Túlio Cícero,Itália,31 de dezembro de 106,Arpino,05 de dezembro de 42,Fórmias,19,41.64705, 13.61155,https://pt.wikipedia.org/wiki/Cícero,http://commons.wikimedia.org/wiki/Special:FilePath/M-T-Cicero.jpg
Scott Adkins,Scott Johan Edward Adkins,Reino Unido,17 de junho de 1976,Royal Sutton Coldfield,-,-,11,52563,-1822,https://pt.wikipedia.org/wiki/Scott_Adkins,http://commons.wikimedia.org/wiki/Special:FilePath/Scott%20Adkins%20Hector.jpg
Natalia Tena,Natalia Gastiain Tena,Reino Unido,01 de novembro de 1984,Londres,-,-,1,51.507222222, -0.1275,https://pt.wikipedia.org/wiki/Natalia_Tena,http://commons.wikimedia.org/wiki/Special:FilePath/Natalia%20Tena%202012%20cropped.jpg
