Termo Buscado,Nome Completo,Origem/Nacionalidade,Data de Nascimento,Local de Nascimento,Data de Falecimento,Local de Falecimento,Século,Latitude,Longitude,Url,Imagem
Machado de Assis,Joaquim Maria Machado de Assis,Brasil,21 de junho de 1839,Rio de Janeiro,29 de setembro de 1908,Rio de Janeiro,19,-22.911111111, -43.205555555,https://pt.wikipedia.org/wiki/Machado_de_Assis,http://commons.wikimedia.org/wiki/Special:FilePath/Machado%20de%20Assis%20aos%2057%20anos.jpg
Parmenides,Parmênides,Itália,514 a.C.,Eleia,469 a.C.,-,6 a.C.,40.159444444, 15.154444444,https://pt.wikipedia.org/wiki/Parmênides,http://commons.wikimedia.org/wiki/Special:FilePath/Parmenides.jpg
Elon Musk,Elon Reeve Musk,África do Sul,28 de junho de 1971,Pretória,-,-,20,-25.746388888, 28.188055555,https://pt.wikipedia.org/wiki/Elon_Musk,http://commons.wikimedia.org/wiki/Special:FilePath/%EA%A0%81%EA%A0%9F%EA%A0%98%20%EA%A0%9D%EA%A0%A3%EA%A0%8D%EA%A0%86%EA%A0%87.jpg
Jair Bolsonaro,Jair Messias Bolsonaro,Brasil,21 de março de 1955,Glicério,-,-,20,-21.376111111, -50.205833333,https://pt.wikipedia.org/wiki/Jair_Bolsonaro,http://commons.wikimedia.org/wiki/Special:FilePath/Jair%20Bolsonaro%20em%2024%20de%20abril%20de%202019%20%281%29%20%28cropped%29.jpg
