Termo Buscado,Nome Completo,Origem/Nacionalidade,Data de Nascimento,Local de Nascimento,Data de Falecimento,Local de Falecimento,Latitude,Longitude,Url,Imagem
Vladimir Putin,Vladimir Vladimirovitch Putin,Rússia,07 de outubro de 1952,São Petersburgo,-,-,59.95,30.316666666,https://pt.wikipedia.org/wiki/Vladimir_Putin,http://commons.wikimedia.org/wiki/Special:FilePath/RIAN%20archive%20100306%20Vladimir%20Putin%2C%20Federal%20Security%20Service%20Director.jpg
Vladimir Putin,Vladimir Vladimirovitch Putin,Rússia,07 de outubro de 1952,São Petersburgo,-,-,59.95,30.316666666,https://pt.wikipedia.org/wiki/Vladimir_Putin,http://commons.wikimedia.org/wiki/Special:FilePath/RIAN%20archive%20100306%20Vladimir%20Putin%2C%20Federal%20Security%20Service%20Director.jpg
Vladimir Putin,Vladimir Vladimirovitch Putin,Rússia,07 de outubro de 1952,São Petersburgo,-,-,59.95,30.316666666,https://pt.wikipedia.org/wiki/Vladimir_Putin,http://commons.wikimedia.org/wiki/Special:FilePath/RIAN%20archive%20100306%20Vladimir%20Putin%2C%20Federal%20Security%20Service%20Director.jpg
Helena Blavatsky,Elena Petrovna Blavátskaya,Ucrânia,12 de agosto de 1831,Dnipro,08 de maio de 1891,Londres,48.4675,35.04,https://pt.wikipedia.org/wiki/Helena_Blavatsky,http://commons.wikimedia.org/wiki/Special:FilePath/Helena%20Petrovna%20Blavatsky.jpg
