Termo Buscado,Nome Completo,Origem/Nacionalidade,Data de Nascimento,Local de Nascimento,Data de Falecimento,Local de Falecimento,Século,Latitude,Longitude,Url,Imagem
Jair Bolsonaro,Jair Messias Bolsonaro,Brasil,21 de março de 1955,Glicério,-,-,20,-21.376111111, -50.205833333,https://pt.wikipedia.org/wiki/Jair_Bolsonaro,http://commons.wikimedia.org/wiki/Special:FilePath/Jair%20Bolsonaro%20em%2024%20de%20abril%20de%202019%20%281%29%20%28cropped%29.jpg
Larry Sanger,Lawrence Mark Sanger,Estados Unidos,16 de julho de 1968,Bellevue,-,-,20,47.614444444, -122.1925,https://pt.wikipedia.org/wiki/Larry_Sanger,http://commons.wikimedia.org/wiki/Special:FilePath/L%20Sanger.jpg
Marcelo Rossi,Marcelo Mendonça Rossi,Brasil,20 de maio de 1967,São Paulo,-,-,20,-23.550394444, -46.633947222,https://pt.wikipedia.org/wiki/Marcelo_Rossi,http://commons.wikimedia.org/wiki/Special:FilePath/Marcelo%20Rossi.jpg
Celso Portiolli,Celso Yunes Portiolli,Brasil,01 de junho de 1967,Maringá,-,-,20,-23.425, -51.938888888,https://pt.wikipedia.org/wiki/Celso_Portiolli,http://commons.wikimedia.org/wiki/Special:FilePath/Celso%20Portiolli.jpg
Jane Austen,Jane Austen,Reino Unido,16 de dezembro de 1775,Steventon,18 de julho de 1817,Winchester,18,51.230278, -1.218889,https://pt.wikipedia.org/wiki/Jane_Austen,http://commons.wikimedia.org/wiki/Special:FilePath/CassandraAusten-JaneAusten%28c.1810%29%20hires.jpg
Jimmy Wales,Jimmy Donal Wales,Estados Unidos,07 de agosto de 1966,Huntsville,-,-,20,34.713611111, -86.586111111,https://pt.wikipedia.org/wiki/Jimmy_Wales,http://commons.wikimedia.org/wiki/Special:FilePath/Jimmy%20Wales%20-%20August%202019%20%28cropped%29.jpg
Ward Cunningham,"Howard G. ""Ward"" Cunningham",Estados Unidos,01 de janeiro de 1949,Michigan City,-,-,20,41.71278, -86.89306,https://pt.wikipedia.org/wiki/Ward_Cunningham,http://commons.wikimedia.org/wiki/Special:FilePath/Ward%20Cunningham%20-%20Commons-1.jpg
Jaime Spengler,Jaime Spengler,Brasil,06 de setembro de 1960,Gaspar,-,-,20,-26.930833333, -48.958888888,https://pt.wikipedia.org/wiki/Jaime_Spengler,http://commons.wikimedia.org/wiki/Special:FilePath/Dom%20Jaime%20Spengler.JPG
Jennifer O'Dell,Jennifer O'Dell,Estados Unidos,27 de novembro de 1974,Ridgecrest,-,-,20,35.6225, -117.670833333,https://pt.wikipedia.org/wiki/Jennifer_O'Dell,Sem Imagem
