Termo Buscado,Nome Completo,Origem/Nacionalidade,Data de Nascimento,Local de Nascimento,Data de Falecimento,Local de Falecimento,Século,Latitude,Longitude,Url,Imagem
Ada Lovelace,Augusta Ada Byron,Reino Unido,10 de dezembro de 1815,Londres,27 de novembro de 1852,Marylebone,19,51.507222222, -0.1275,https://pt.wikipedia.org/wiki/Ada_Lovelace,http://commons.wikimedia.org/wiki/Special:FilePath/Ada%20Lovelace%20portrait.jpg
Joana d'Arc,somevalue,França,01 de janeiro de 1412,Domrémy,08 de junho de 1431,Ruão,15,48.4425, 5.675,https://pt.wikipedia.org/wiki/Joana_d'Arc,http://commons.wikimedia.org/wiki/Special:FilePath/Contemporaine%20afb%20jeanne%20d%20arc.png
Padre Pio,Francesco Forgione,Itália,25 de maio de 1887,Pietrelcina,23 de setembro de 1968,San Giovanni Rotondo,19,41.2, 14.85,https://pt.wikipedia.org/wiki/Padre_Pio,http://commons.wikimedia.org/wiki/Special:FilePath/Padre%20Pio%20portrait.jpg
Hipócrates,Hipócrates,Grécia,459 a.C.,Cós,369 a.C.,Lárissa,5 a.C.,36.815277777, 27.110277777,https://pt.wikipedia.org/wiki/Hipócrates,http://commons.wikimedia.org/wiki/Special:FilePath/Hippocrates%20rubens.jpg
Ward Cunningham,"Howard G. ""Ward"" Cunningham",Estados Unidos,26 de maio de 1949,Michigan City,-,-,20,41.71278, -86.89306,https://pt.wikipedia.org/wiki/Ward_Cunningham,http://commons.wikimedia.org/wiki/Special:FilePath/Ward%20Cunningham%20-%20Commons-1.jpg
Blaise Pascal,Blaise Pascal,França,19 de junho de 1623,birth house of Blaise Pascal,19 de agosto de 1662,Paris,17,45.77841, 3.08526,https://pt.wikipedia.org/wiki/Blaise_Pascal,http://commons.wikimedia.org/wiki/Special:FilePath/FR-631136102%20GRA%206025%20Portrait%20de%20Blaise%20Pascal%20par%20Edelinck%20%28cropped%29.jpg
Louis Pasteur,Louis Pasteur,França,27 de dezembro de 1822,Dole,28 de setembro de 1895,Castle of Villeneuve-l'Étang,19,47.092222222, 5.489722222,https://pt.wikipedia.org/wiki/Louis_Pasteur,http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20Pasteur%20%281822%20-%201895%29%2C%20microbiologist%20and%20chemist%20Wellcome%20V0026980.jpg
Euclides,Euclides,Brasil,17 de outubro de 1947,Riacho de Santana,-,-,20,-6.262777777, -38.315833333,https://pt.wikipedia.org/wiki/Euclides,Sem Imagem
Nicolau Copérnico,Niklas Koppernigk,Polónia,28 de fevereiro de 1473,Toruń,03 de junho de 1543,Frombork,15,53.0144, 18.6014,https://pt.wikipedia.org/wiki/Nicolau_Copérnico,http://commons.wikimedia.org/wiki/Special:FilePath/Nikolaus%20Kopernikus.jpg
Voltaire,François-Marie Arouet,França,21 de novembro de 1694,Paris,30 de maio de 1778,Paris,17,48.856666666, 2.352222222,https://pt.wikipedia.org/wiki/Voltaire,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolas%20de%20Largilli%C3%A8re%20-%20Portrait%20de%20Voltaire%20%281694-1778%29%20en%201718%20-%20P208%20-%20Mus%C3%A9e%20Carnavalet%20-%202.jpg
