Termo Buscado,Nome Completo,Origem/Nacionalidade,Data de Nascimento,Local de Nascimento,Data de Falecimento,Local de Falecimento,Século,Latitude,Longitude,Url,Imagem
Jane Austen,Jane Austen,Reino Unido,16 de dezembro de 1775,Steventon,18 de julho de 1817,Winchester,18,51.230278, -1.218889,https://pt.wikipedia.org/wiki/Jane_Austen,http://commons.wikimedia.org/wiki/Special:FilePath/CassandraAusten-JaneAusten%28c.1810%29%20hires.jpg
Marcelo Rossi,Marcelo Mendonça Rossi,Brasil,20 de maio de 1967,São Paulo,-,-,20,-23.550394444, -46.633947222,https://pt.wikipedia.org/wiki/Marcelo_Rossi,http://commons.wikimedia.org/wiki/Special:FilePath/Marcelo%20Rossi.jpg
Jair Bolsonaro,Jair Messias Bolsonaro,Brasil,21 de março de 1955,Glicério,-,-,20,-21.376111111, -50.205833333,https://pt.wikipedia.org/wiki/Jair_Bolsonaro,http://commons.wikimedia.org/wiki/Special:FilePath/Jair%20Bolsonaro%20em%2024%20de%20abril%20de%202019%20%281%29%20%28cropped%29.jpg
