Termo Buscado,Nome Completo,Origem/Nacionalidade,Data de Nascimento,Local de Nascimento,Data de Falecimento,Local de Falecimento,Século,Latitude,Longitude,Url,Imagem
Santos Dumont,Alberto Santos Dumont,Brasil,20 de julho de 1873,Santos Dumont,23 de julho de 1932,Guarujá,19,-21.456666666, -43.5525,https://pt.wikipedia.org/wiki/Santos_Dumont,http://commons.wikimedia.org/wiki/Special:FilePath/%28Barcelona%29%20Portrait%20of%20the%20Brazilian%20Aviator%20Alberto%20Santos-Dumont%20by%20Fran%C3%A7ois%20Flameng%20-%20Museu%20Nacional%20d%27Art%20de%20Catalunya.jpg
Getúlio Vargas,Getúlio Dorneles Vargas,Brasil,22 de janeiro de 1983,São Gonçalo,-,-,20,-22.826944444, -43.053888888,https://pt.wikipedia.org/wiki/Getúlio_Vargas,Sem Imagem
Clarice Lispector,Chaya Pinkhasivna Lispector,Ucrânia,10 de dezembro de 1920,Chechelnyk,09 de dezembro de 1977,Rio de Janeiro,20,48.212222222, 29.362222222,https://pt.wikipedia.org/wiki/Clarice_Lispector,http://commons.wikimedia.org/wiki/Special:FilePath/%281920-1977%29%20Clarice%20Lispector%206zxkp%20please%20credit%28palette.fm%29%20%28cropped%29.png
