Termo Buscado,Nome Completo,Origem/Nacionalidade,Data de Nascimento,Local de Nascimento,Data de Falecimento,Local de Falecimento,Latitude,Longitude,Url,Imagem
maxado de assis,Joaquim Maria Machado de Assis,Brasil,21 de Junho de 1839,Rio de Janeiro,29 de Setembro de 1908,Rio de Janeiro,-22.908333333,-43.196388888,https://pt.wikipedia.org/wiki/Machado_de_Assis,http://commons.wikimedia.org/wiki/Special:FilePath/Machado%20de%20Assis%20real%20negro.jpg
maxado de assis,Joaquim Maria Machado de Assis,Brasil,21 de Junho de 1839,Rio de Janeiro,29 de Setembro de 1908,Rio de Janeiro,-22.908333333,-43.196388888,https://pt.wikipedia.org/wiki/Machado_de_Assis,http://commons.wikimedia.org/wiki/Special:FilePath/Machado%20de%20Assis%20real%20negro.jpg
Machado de Assis,Joaquim Maria Machado de Assis,Brasil,21 de Junho de 1839,Rio de Janeiro,29 de Setembro de 1908,Rio de Janeiro,-22.908333333,-43.196388888,https://pt.wikipedia.org/wiki/Machado_de_Assis,http://commons.wikimedia.org/wiki/Special:FilePath/Machado%20de%20Assis%20real%20negro.jpg
