Termo Buscado,Nome Completo,Origem/Nacionalidade,Data de Nascimento,Local de Nascimento,Data de Falecimento,Local de Falecimento,Século,Latitude,Longitude,Url,Imagem
Aristóteles,Aristóteles,Grécia,383 a.C.,Estagira,321 a.C.,Estagira,4 a.C.,40.59083333, 23.79416667,https://pt.wikipedia.org/wiki/Aristóteles,http://commons.wikimedia.org/wiki/Special:FilePath/Aristotle%20Altemps%20Inv8575.jpg
Platão,Platão,Grécia,427 a.C.,Atenas,346 a.C.,Atenas,5 a.C.,37.96666667, 23.71666667,https://pt.wikipedia.org/wiki/Platão,http://commons.wikimedia.org/wiki/Special:FilePath/Head%20Platon%20Glyptothek%20Munich%20548.jpg
Sócrates,Sócrates,Atenas,468 a.C.,Alopeke,398 a.C.,Atenas,5 a.C.,37.95, 23.75,https://pt.wikipedia.org/wiki/Sócrates,http://commons.wikimedia.org/wiki/Special:FilePath/Socrate%20du%20Louvre.jpg
Tales de Mileto,Tales de Mileto,Turquia,624 a.C.,Mileto,545 a.C.,Mileto,7 a.C.,37.531111, 27.275556,https://pt.wikipedia.org/wiki/Tales_de_Mileto,http://commons.wikimedia.org/wiki/Special:FilePath/Illustrerad%20Verldshistoria%20band%20I%20Ill%20107.jpg
Machado de Assis,Joaquim Maria Machado de Assis,Brasil,21 de junho de 1839,Rio de Janeiro,29 de setembro de 1908,Rio de Janeiro,19,-22.911111111, -43.205555555,https://pt.wikipedia.org/wiki/Machado_de_Assis,http://commons.wikimedia.org/wiki/Special:FilePath/Machado%20de%20Assis%20aos%2057%20anos.jpg
Heráclito,Heraclito,Turquia,534 a.C.,Éfeso,470 a.C.,Éfeso,6 a.C.,37.939722, 27.348611,https://pt.wikipedia.org/wiki/Heráclito,http://commons.wikimedia.org/wiki/Special:FilePath/Abraham%20Janssens%20-%20Heraclitus.jpg
Parmenides,Parmênides,Itália,514 a.C.,Eleia,469 a.C.,-,6 a.C.,40.159444444, 15.154444444,https://pt.wikipedia.org/wiki/Parmênides,http://commons.wikimedia.org/wiki/Special:FilePath/Parmenides.jpg
Anaximandro,Anaximandro,Turquia,609 a.C.,Mileto,555 a.C.,Mileto,7 a.C.,37.531111, 27.275556,https://pt.wikipedia.org/wiki/Anaximandro,http://commons.wikimedia.org/wiki/Special:FilePath/Anaximander.jpg
Elon Musk,Elon Reeve Musk,África do Sul,28 de junho de 1971,Pretória,-,-,20,-25.746388888, 28.188055555,https://pt.wikipedia.org/wiki/Elon_Musk,http://commons.wikimedia.org/wiki/Special:FilePath/%EA%A0%81%EA%A0%9F%EA%A0%98%20%EA%A0%9D%EA%A0%A3%EA%A0%8D%EA%A0%86%EA%A0%87.jpg
Anaximenes,Anaxímenes de Mileto,Turquia,584 a.C.,Mileto,527 a.C.,Mileto,6 a.C.,37.531111, 27.275556,https://pt.wikipedia.org/wiki/Anaxímenes_de_Mileto,http://commons.wikimedia.org/wiki/Special:FilePath/Anaximenes.jpg
Francis Bacon,Francis Bacon 1°. Visconde de Alban,Reino Unido,01 de fevereiro de 1561,Londres,19 de abril de 1626,Londres,16,51.507222222, -0.1275,https://pt.wikipedia.org/wiki/Francis_Bacon,http://commons.wikimedia.org/wiki/Special:FilePath/Somer%20Francis%20Bacon.jpg
