Termo Buscado,Nome Completo,Origem/Nacionalidade,Data de Nascimento,Local de Nascimento,Data de Falecimento,Local de Falecimento,Século,Latitude,Longitude,Url,Imagem
Clarisse Lispector,Chaya Pinkhasivna Lispector,Ucrânia,10 de dezembro de 1920,Chechelnyk,09 de dezembro de 1977,Rio de Janeiro,20,48.212222222, 29.362222222,https://pt.wikipedia.org/wiki/Clarice_Lispector,http://commons.wikimedia.org/wiki/Special:FilePath/%281920-1977%29%20Clarice%20Lispector%206zxkp%20please%20credit%28palette.fm%29%20%28cropped%29.png
Machado de Assis,Joaquim Maria Machado de Assis,Brasil,21 de junho de 1839,Rio de Janeiro,29 de setembro de 1908,Rio de Janeiro,19,-22.911111111, -43.205555555,https://pt.wikipedia.org/wiki/Machado_de_Assis,http://commons.wikimedia.org/wiki/Special:FilePath/Machado%20de%20Assis%20aos%2057%20anos.jpg
Mao tse tung,Mao Tsé-Tung,China,26 de dezembro de 1893,Shaoshan,09 de setembro de 1976,Pequim,19,27.91, 112.48,https://pt.wikipedia.org/wiki/Mao_Tsé-Tung,http://commons.wikimedia.org/wiki/Special:FilePath/Mao%20Zedong%20Color.jpg
