Termo Buscado,Nome Completo,Origem/Nacionalidade,Data de Nascimento,Local de Nascimento,Data de Falecimento,Local de Falecimento,Latitude,Longitude,Url,Imagem
Machado de Assis,Joaquim Maria Machado de Assis,Brasil,21 de junho de 1839,Rio de Janeiro,29 de setembro de 1908,Rio de Janeiro,-22.908333333,-43.196388888,https://pt.wikipedia.org/wiki/Machado_de_Assis,http://commons.wikimedia.org/wiki/Special:FilePath/Machado%20de%20Assis%20real%20negro.jpg
Vladimir Putin,Vladimir Vladimirovitch Putin,Rússia,07 de outubro de 1952,São Petersburgo,-,-,59.95,30.316666666,https://pt.wikipedia.org/wiki/Vladimir_Putin,http://commons.wikimedia.org/wiki/Special:FilePath/RIAN%20archive%20100306%20Vladimir%20Putin%2C%20Federal%20Security%20Service%20Director.jpg
Elon Musk,Elon Reeve Musk,África do Sul,28 de junho de 1971,Pretória,-,-,-25.746388888,28.188055555,https://pt.wikipedia.org/wiki/Elon_Musk,http://commons.wikimedia.org/wiki/Special:FilePath/Elon%20Musk%20Royal%20Society%20%28crop2%29.jpg
