Termo Buscado,Nome Completo,Origem/Nacionalidade,Data de Nascimento,Local de Nascimento,Data de Falecimento,Local de Falecimento,Latitude,Longitude,Url,Imagem
Machado de Assis,Joaquim Maria Machado de Assis,Brasil,21 de Junho de 1839,Rio de Janeiro,29 de Setembro de 1908,Rio de Janeiro,-22.908333333, -43.196388888,https://pt.wikipedia.org/wiki/Machado_de_Assis,http://commons.wikimedia.org/wiki/Special:FilePath/Machado%20de%20Assis%20real%20negro.jpg
Jair Bolsonaro,Jair Messias Bolsonaro,Brasil,21 de Março de 1955,Glicério,-,-,-21.376111111, -50.205833333,https://pt.wikipedia.org/wiki/Jair_Bolsonaro,http://commons.wikimedia.org/wiki/Special:FilePath/Jair%20Bolsonaro%20em%2024%20de%20abril%20de%202019%20%281%29%20%28cropped%29.jpg
Machado de Assis,Joaquim Maria Machado de Assis,Brasil,21 de Junho de 1839,Rio de Janeiro,29 de Setembro de 1908,Rio de Janeiro,-22.908333333, -43.196388888,https://pt.wikipedia.org/wiki/Machado_de_Assis,http://commons.wikimedia.org/wiki/Special:FilePath/Machado%20de%20Assis%20real%20negro.jpg
